"PERIODE";"IAS_brut";"IAS_lissé";"Incidence_Sentinelles"
2011-04-23;0,4;1,3;1,1
2011-04-24;50,4;1,2;1,1
2011-04-25;15,1;1,1;0,6
2011-04-26;1,2;1;0,6
2011-04-27;0,8;1;0,6
2011-04-28;0,9;0,9;0,6
2011-04-29;1,4;0,9;0,6
2011-04-30;0,6;0,9;0,6
2011-05-01;14,3;0,8;0,6
2011-05-02;0,5;0,8;1,1
2011-05-03;0,5;0,8;1,1
2011-05-04;0,9;0,8;1,1
2011-05-05;1,3;0,8;1,1
2011-05-06;1,1;0,9;1,1
2011-05-07;0,5;0,9;1,1
2011-05-08;18,2;0,9;1,1
2011-05-09;0,8;0,9;1,3
2011-05-10;1;0,9;1,3
2011-05-11;0,8;1;1,3
2011-05-12;1,7;1;1,3
2011-05-13;0,9;1;1,3
2011-05-14;0,4;1;1,3
2011-05-15;92,3;1;1,3
2011-05-16;1,6;1;0,9
2011-05-17;1;0,9;0,9
2011-05-18;0,6;0,9;0,9
2011-05-19;1;0,9;0,9
2011-05-20;1,2;0,9;0,9
2011-05-21;0,3;0,8;0,9
2011-05-22;7,8;0,8;0,9
2011-05-23;2;0,8;0,6
2011-05-24;0,3;0,8;0,6
2011-05-25;0,7;0,7;0,6
2011-05-26;0,5;0,8;0,6
2011-05-27;1;0,8;0,6
2011-05-28;0,6;0,8;0,6
2011-05-29;2,1;0,8;0,6
2011-05-30;1;0,8;0,7
2011-05-31;1,1;0,8;0,7
2011-06-01;0,6;0,8;0,7
2011-06-02;12;0,9;0,7
2011-06-03;0,7;0,9;0,7
2011-06-04;0,7;0,9;0,7
2011-06-05;10,5;0,9;0,7
2011-06-06;1;1;0,7
2011-06-07;1,5;1;0,7
2011-06-08;0,9;1;0,7
2011-06-09;0,9;1;0,7
2011-06-10;1;1;0,7
2011-06-11;0,8;1;0,7
2011-06-12;7;1,1;0,7
2011-06-13;3,3;1,1;0,9
2011-06-14;1;1,2;0,9
2011-06-15;1,2;1,2;0,9
2011-06-16;1,4;1,3;0,9
2011-06-17;1,3;1,3;0,9
2011-06-18;1,3;1,3;0,9
2011-06-19;166,6;1,2;0,9
2011-06-20;1,7;1,1;0,9
2011-06-21;1,3;1,1;0,9
2011-06-22;0,4;1;0,9
2011-06-23;0,9;1;0,9
2011-06-24;0,8;0,9;0,9
2011-06-25;0,9;0,9;0,9
2011-06-26;83,5;0,9;0,9
2011-06-27;0,7;0,9;0,3
2011-06-28;1,4;0,9;0,3
2011-06-29;0,6;0,9;0,3
2011-06-30;1,1;0,9;0,3
2011-07-01;1,1;0,8;0,3
2011-07-02;0,7;0,8;0,3
2011-07-03;0;0,8;0,3
2011-07-04;0,4;0,7;0,9
2011-07-05;0,5;0,7;0,9
2011-07-06;0,9;0,7;0,9
2011-07-07;0,8;0,7;0,9
2011-07-08;1,3;0,7;0,9
2011-07-09;0,6;0,7;0,9
2011-07-10;13,7;0,7;0,9
2011-07-11;0,4;0,7;0,4
2011-07-12;0,8;0,7;0,4
2011-07-13;0,4;0,7;0,4
2011-07-14;0,2;0,7;0,4
2011-07-15;1;0,7;0,4
2011-07-16;0,9;0,8;0,4
2011-07-17;140,5;0,8;0,4
2011-07-18;0,6;0,8;0,6
2011-07-19;0,9;0,9;0,6
2011-07-20;1,1;0,9;0,6
2011-07-21;1,1;0,8;0,6
2011-07-22;0,5;0,8;0,6
